tissue,frequency,conductivity,permittivity,loss-tangent,penetration-depth
SkinDry,3.5700e+10, 3.0074e+1, 1.3085e+1, 1.1572e+0, 7.1810e-4
SkinDry,3.5800e+10, 3.0118e+1, 1.3049e+1, 1.1589e+0, 7.1623e-4
SkinDry,3.5900e+10, 3.0163e+1, 1.3013e+1, 1.1606e+0, 7.1436e-4
SkinDry,3.6000e+10, 3.0207e+1, 1.2977e+1, 1.1623e+0, 7.1251e-4
SkinDry,3.6100e+10, 3.0251e+1, 1.2941e+1, 1.1640e+0, 7.1068e-4
SkinDry,3.6200e+10, 3.0294e+1, 1.2905e+1, 1.1656e+0, 7.0885e-4
SkinDry,3.6300e+10, 3.0338e+1, 1.2870e+1, 1.1673e+0, 7.0704e-4
SkinDry,3.6400e+10, 3.0381e+1, 1.2835e+1, 1.1689e+0, 7.0525e-4
SkinDry,3.6500e+10, 3.0424e+1, 1.2800e+1, 1.1706e+0, 7.0346e-4
SkinDry,3.6600e+10, 3.0467e+1, 1.2765e+1, 1.1722e+0, 7.0169e-4
SkinDry,3.6700e+10, 3.0509e+1, 1.2731e+1, 1.1738e+0, 6.9993e-4
SkinDry,3.6800e+10, 3.0552e+1, 1.2696e+1, 1.1754e+0, 6.9819e-4
SkinDry,3.6900e+10, 3.0594e+1, 1.2662e+1, 1.1770e+0, 6.9645e-4
SkinDry,3.7000e+10, 3.0636e+1, 1.2628e+1, 1.1786e+0, 6.9473e-4
SkinDry,3.7100e+10, 3.0677e+1, 1.2594e+1, 1.1802e+0, 6.9302e-4
SkinDry,3.7200e+10, 3.0719e+1, 1.2560e+1, 1.1818e+0, 6.9132e-4
SkinDry,3.7300e+10, 3.0760e+1, 1.2527e+1, 1.1834e+0, 6.8963e-4
SkinDry,3.7400e+10, 3.0801e+1, 1.2494e+1, 1.1849e+0, 6.8796e-4
SkinDry,3.7500e+10, 3.0842e+1, 1.2460e+1, 1.1865e+0, 6.8630e-4
